trial,tank,A,B,choice
1,1,B,S,S
2,2,L,M,M
3,3,B,S,B
4,4,L,M,M
5,5,B,S,B
6,6,L,M,M
7,1,S,B,NA
8,2,M,L,L
9,3,S,B,S
10,4,M,L,L
11,5,S,B,B
12,6,M,L,L
13,1,B,L,L
14,2,S,M,S
15,3,B,L,B
16,4,S,M,S
17,5,B,L,L
18,6,S,M,M
19,1,L,B,NA
20,2,M,S,M
21,3,L,B,L
22,4,M,S,S
23,5,L,B,L
24,6,M,S,S
25,1,B,M,B
26,2,S,L,S
27,3,B,M,M
28,4,S,L,L
29,5,B,M,M
30,6,S,L,L
31,1,M,B,M
32,2,L,S,S
33,3,M,B,B
34,4,L,S,S
35,5,M,B,B
36,6,L,S,S
37,1,L,M,L
38,2,B,S,B
39,3,L,M,M
40,4,B,S,B
41,5,L,M,L
42,6,B,S,S
43,1,M,L,M
44,2,S,B,NA
45,3,M,L,L
46,4,S,B,B
47,5,M,L,L
48,6,S,B,S
49,1,S,M,S
50,2,B,L,NA
51,3,S,M,S
52,4,B,L,B
53,5,S,M,S
54,6,B,L,L
55,1,M,S,S
56,2,L,B,B
57,3,M,S,M
58,4,L,B,L
59,5,M,S,S
60,6,L,B,B
61,1,S,L,S
62,2,B,M,M
63,3,S,L,NA
64,4,B,M,M
65,5,S,L,S
66,6,B,M,NA
67,1,L,S,S
68,2,M,B,M
69,3,L,S,NA
70,4,M,B,M
71,5,L,S,L
72,6,M,B,M
73,1,B,S,S
74,2,L,M,NA
75,3,B,S,B
76,4,L,M,L
77,5,B,S,S
78,6,L,M,M
79,1,S,B,B
80,2,M,L,L
81,3,S,B,B
82,4,M,L,M
83,5,S,B,B
84,6,M,L,M
85,1,B,L,L
86,2,S,M,S
87,3,B,L,L
88,4,S,M,M
89,5,B,L,B
90,6,S,M,M
91,1,L,B,B
92,2,M,S,S
93,3,L,B,L
94,4,M,S,M
95,5,L,B,B
96,6,M,S,M
97,1,B,M,B
98,2,S,L,NA
99,3,B,M,M
100,4,S,L,L
101,5,B,M,NA
102,6,S,L,L
103,1,M,B,B
104,2,L,S,S
105,3,M,B,M
106,4,L,S,L
107,5,M,B,B
108,6,L,S,S
109,1,L,M,L
110,2,B,S,B
111,3,L,M,L
112,4,B,S,S
113,5,L,M,L
114,6,B,S,S
115,1,M,L,L
116,2,S,B,S
117,3,M,L,M
118,4,S,B,S
119,5,M,L,M
120,6,S,B,B
121,1,S,M,S
122,2,B,L,B
123,3,S,M,S
124,4,B,L,NA
125,5,S,M,M
126,6,B,L,B
127,1,M,S,M
128,2,L,B,L
129,3,M,S,S
130,4,L,B,B
131,5,M,S,M
132,6,L,B,B
133,1,S,L,L
134,2,B,M,B
135,3,S,L,L
136,4,B,M,M
137,5,S,L,NA
138,6,B,M,M
139,1,L,S,S
140,2,M,B,B
141,3,L,S,L
142,4,M,B,M
143,5,L,S,S
144,6,M,B,M
145,1,B,S,NA
146,2,L,M,M
147,3,B,S,S
148,4,L,M,M
149,5,B,S,S
150,6,L,M,M
151,1,S,B,S
152,2,M,L,M
153,3,S,B,S
154,4,M,L,M
155,5,S,B,B
156,6,M,L,L
157,1,B,L,B
158,2,S,M,M
159,3,B,L,NA
160,4,S,M,M
161,5,B,L,B
162,6,S,M,S
